despicable	令人鄙视的：loathing and disgust；不荣耀的，不得体的：not honor
despise	极其不喜欢的：dislike strongly
despotic	专制的，暴虐的：tyrannical
desultory	无计划的，无目的的：lacking plan；令人失望的：disappointing
detach	使分离：separate
detain	拘留，扣留：hold, keep
deter	吓住，威慑：prevent, discourage
deterioration	恶化，堕落：sinking
detour	偏离正常标准：away from standard；改变方向或者路线，绕道：change direction
detract	贬低，降低价值：diminish；使分心：draw attention
detritus	废品，碎屑，遗骸：product disintegration, destruction, debris
devoted	投入的，忠诚的：loyalty, devotion；示爱的，恩爱的：love
devout	（对于宗教）虔诚的：devoted to religion；忠诚的：allegiance
dexterous	动作灵活的：ready, skilled；头脑灵活的：mentally adroit, skillful
diabolic	恶魔一般的：devil
diaphanous	模糊的；非实在的：vague insubstantial；（质地精致得）几乎透明的：transparent, translucent
diatribe	长篇抨击性演讲：long scolding；挖苦，讽刺的指责：ironic, satirical
didactic	喜欢说教的：teach
diehard	顽固的，保守的／顽固的人，保守的人：determined, devoted/opposes change, refuses new ideas
diffident	不自信的：lack self-confidence；内向的：reserved
diffuse	啰嗦的：verbose；不集中的，扩散的：not concentrated；扩展，散开：extend, scatter
digress	脱离主题：turn aside main subject
dilapidate	（使）荒废：ruin
dilate	（使）膨胀，扩大：enlarge, expand, wide；详细表达：more fully greater detail
dilatory	拖延的，磨蹭的：cause delay procrastination
dilettante	业余爱好者（对艺术或知识领域涉猎浅薄者）／缺乏专业技术的：superficial interest/lacking expert skill
diligent	勤勉的，辛勤的：steady, earnest, energetic
dilute	稀释／经稀释的：concentrated/low strength, concentration；削弱：diminish strength, flavor, brilliance
diminish	（使）变小，（使）减少：smaller, less；轻视，贬低：lessen, belittle
din	喧闹声，嘈杂声：loud noise；重复，使人厌烦地反复灌输：again
dingy	昏暗的；肮脏的：darkened, dirty
diocesan	 主教管辖区的：diocese
diplomatic	使用策略的，机智的：tact
dire	不吉利的，不详的：calamity；可怕的，恐怖的：fear；迫切的：immediate, urgent；悲惨的：lacking cheer
dirge	挽歌：solemn, mournful music
disabuse	打消错误念头，纠正：free from error, fallacy, misconception
disaffected	不满的，叛逆的：discontented
disarm	解除武装：reduce armed forces；使息怒，平息，抚慰：lessen；使无害：harmless
disarray	混乱，无秩序：lack order；使混乱：undo order, arrangement
disavow	拒绝承认，否认：disclaim
discern	识别，辨别差异：perceive, detect
discharge	解雇：dismiss；释放：free；不承担责任：freeing obligation, responsibility
disciple	信徒，追随者：follower
discombobulate	使不安，使混乱：upset, confuse
discomfit	使尴尬：embarrassment；阻碍：prevent
discommode	打扰，使不便：trouble
discompose	使不安：disturb composure, perturb；使混乱：undo order, arrangement
disconcert	使不安：disturb
discord	意见不一致，不和谐：lack agreement, harmony
discredit	羞耻，使丧失名誉：damage reputation, disgrace；怀疑，不相信：not true, real
discrepancy	（在事实和宣称之间的）差异或矛盾：divergence, disagreement
discrete	离散的，不连续的：separate
discretion	谨慎：discreet, circumspection；自制，节制：checking
discretionary	自主决定的：one’s own discretion
discriminate	区分：perceive distinguishing, recognize；歧视：difference
discursive	（谈话内容）杂乱的：without order
disdain	轻视，鄙视：scorn
disengage	分开，使脱离：set free, entanglement
disgorge	呕吐出：discharge, vomit；被迫放弃：give up
disgruntle	使发怒，使不满意：discontented；使疏远，使不友好：unfriendly
disguise	伪装（防止被认出）：prevent recognition；隐藏，掩饰：secret shut off
disinclination	不喜欢，厌恶，不情愿：lack willingness, desire
disinfect	消毒，使无菌：free from infection
disjointed	机能失调的：out orderly function；不连贯的：not connected
disinter	（从墓地里）掘出：take out
disinterested	公正的，无偏见的：free from selfish, unbiased；没有兴趣的：lack interest, concern
disjunctive	分离的：breaks disunity
dismantle	分解，分拆：pieces, destroy integrity
dismay	使失去勇气：lose courage；使不安，使焦虑：trouble, uneasy
disparage	贬低；轻蔑地说：lower, disrespectful
disparate	迥然不同的：distinct, different dissimilar
dispassionate	客观公正的，不易被情绪或偏见影响的：unaffected
dispatch	迅速：promptness；发送，派遣：one place to another；使死亡：deprive life；获胜，胜过…：victory
dispose	使倾向于：tendency incline；处理掉（与of连用，dispose of）：get rid of, throw out；有序地布置：orderly
disregard	漠视，不关注：no attention；缺乏兴趣，缺乏关心：interest concern
dissect	仔细分析：examine, analyze minute；切成片（尤其是为了解剖研究）：cut apart separate
dissemble	用假象隐藏真相，掩饰：false
disseminate	散播，传播：spread, promulgate
dissension	意见不合：difference, disagreement
dissent	持异议，不同意：differ；反对正统：departure accepted；不和谐：lack harmony
dissipate	驱散：drive away, disperse；浪费：wastefully, squander；放纵：indulge, intemperate
dissolute	放荡的，无节制的：restraint, indulging
